description;volume;page;plate;polygon;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
Horusmythos;6;082;146;100,692,134,738;Chassinat/6_082.jpg;270;123;275.58;16.81;11.05;15.04
;;;;26,667,61,689;#;270;123;257.81;81.86;5.28;15.49
;;;;64,667,97,689;#;270;123;257.81;49.12;5.28;14.6
;;;;100,667,134,689;#;270;123;257.81;16.81;5.28;15.04
Stricke spannen;6;168;147;26,446,61,664;Chassinat/6_168.jpg;270;123;198.74;81.86;52.35;15.49
Horusmythos;6;122;148;64,611,97,664;Chassinat/6_122.jpg;270;123;238.36;49.12;12.73;14.6
Horusmythos;6;078;147;100,611,134,664;Chassinat/6_078.jpg;270;123;238.36;16.81;12.73;15.04
Horusmythos;6;120;147;64,556,97,608;Chassinat/6_120.jpg;270;123;211.7;49.12;12.49;14.6
Gott anbeten;6;076;147;100,556,134,608;Chassinat/6_076.jpg;270;123;211.7;16.81;12.49;15.04
???;6;117;147;64,501,97,553;Chassinat/6_117.jpg;270;123;185.29;49.12;12.49;14.6
Horusmythos;6;072;147;100,501,134,553;Chassinat/6_072.jpg;270;123;185.29;16.81;12.49;15.04
???;6;113;147;64,446,97,498;Chassinat/6_113.jpg;270;123;158.88;49.12;12.49;14.6
Horusmythos;6;069;147;100,446,134,498;Chassinat/6_069.jpg;270;123;158.88;16.81;12.49;15.04
Opfer opfern;6;175;148;26,225,61,443;Chassinat/6_175.jpg;270;123;92.6;81.86;52.35;15.49
???;6;111;148;64,391,97,443;Chassinat/6_111.jpg;270;123;132.46;49.12;12.49;14.6
Horusmythos;6;066;148;100,391,134,443;Chassinat/6_066.jpg;270;123;132.46;16.81;12.49;15.04
Himmel stützen;6;108;148;64,336,97,388;Chassinat/6_108.jpg;270;123;106.05;49.12;12.49;14.6
Horusmythos;6;063;148;100,336,134,388;Chassinat/6_063.jpg;270;123;106.05;16.81;12.49;15.04
Sokar erscheinen lassen;6;139;148;64,262,97,333;Chassinat/6_139.jpg;270;123;75.07;49.12;17.05;14.6
Horusmythos;6;060;148;100,262,134,333;Chassinat/6_060.jpg;270;123;75.07;16.81;17.05;15.04
Opfertier töten;6;141;148;64,225,97,259;Chassinat/6_141.jpg;270;123;48.41;49.12;8.16;14.6
Speer darreichen;6;090;148;100,225,134,259;Chassinat/6_090.jpg;270;123;48.41;16.81;8.16;15.04
Bösewicht zur Schlachtbank;6;179;148;26,188,61,222;Chassinat/6_179.jpg;270;123;30.64;81.86;8.16;15.49
Wüstentiere und Antilopen;6;142;148;64,188,97,222;Chassinat/6_142.jpg;270;123;30.64;49.12;8.16;14.6
Das Haus seinem Herrn übergeben;6;091;148;100,188,134,222;Chassinat/6_091.jpg;270;123;30.64;16.81;8.16;15.04
Jahre;6;092;149;137,150,158,185;Chassinat/6_092.jpg;0;133.25;22;17.26;9.36;15.49
Speer;6;143;149;137,114,158,147;Chassinat/6_143.jpg;0;133.25;22;50;9.36;14.6
???;6;180;149;137,77,158,111;Chassinat/6_180.jpg;0;133.25;22;82.3;9.36;15.04
Weihrauch räuchern / Sänfte;6;093;149;161,150,213,185;Chassinat/6_093.jpg;0;168.46;22;17.26;23.18;15.49
Seneb-Pflanzen umbinden;6;143;149;161,114,213,147;Chassinat/6_143.jpg;0;168.46;22;50;23.18;14.6
Schöpfungsmythos;6;181;149;161,77,213,111;Chassinat/6_181.jpg;0;168.46;22;82.3;23.18;15.04
Salbe zubereiten;6;100;149;216,150,268,185;Chassinat/6_100.jpg;0;217.49;22;17.26;23.18;15.49
Fleischstücke darbringen;6;152;149;216,114,268,147;Chassinat/6_152.jpg;0;217.49;22;50;23.18;14.6
Krönung des Königs;6;186;149;216,77,268,111;Chassinat/6_186.jpg;0;217.49;22;82.3;23.18;15.04
Heh-Symbol darreichen;6;269;154;271,150,323,185;Chassinat/6_269.jpg;0;266.51;22;17.26;23.18;15.49
Myrrhe verbrennen;6;305;154;271,114,323,147;Chassinat/6_305.jpg;0;266.51;22;50;23.18;14.6
Lotus darreichen;6;338;154;271,77,296,111;Chassinat/6_338.jpg;0;254.48;22;82.3;11.14;15.04
Heb-sed-Feste;6;336;154;299,77,348,111;Chassinat/6_336.jpg;0;290.13;22;82.3;21.84;15.04
Brustamulett umbinden;6;298;154;326,114,378,147;Chassinat/6_298.jpg;0;315.54;22;50;23.18;14.6
Weihrauch;6;262;154;326,150,378,185;Chassinat/6_262.jpg;0;315.54;22;17.26;23.18;15.49
???;6;334;154;351,77,378,111;Chassinat/6_334.jpg;0;326.68;22;82.3;12.03;15.04
Halskragen umbinden;6;333;154;381,77,402,111;Chassinat/6_333.jpg;0;350.75;22;82.3;9.36;15.04
Seth erstechen;6;297;154;381,114,402,147;Chassinat/6_297.jpg;0;350.75;22;50;9.36;14.6
???;6;262;154;381,150,402,185;Chassinat/6_262.jpg;0;350.75;22;17.26;9.36;15.49
Feld darreichen;6;260;153;405,188,439,222;Chassinat/6_260.jpg;90;361;30.64;16.81;8.16;15.04
Weihrauch räuchern;6;296;153;442,188,475,222;Chassinat/6_296.jpg;90;361;30.64;49.12;8.16;14.6
Apophis töten;6;332;153;478,188,513,222;Chassinat/6_332.jpg;90;361;30.64;81.86;8.16;15.49
Den Arm emporheben mit Gebäck;6;258;153;405,225,439,270;Chassinat/6_258.jpg;90;361;51.06;16.81;10.81;15.04
Fleischstücke auslösen;6;257;153;405,273,439,317;Chassinat/6_257.jpg;90;361;73.87;16.81;10.57;15.04
Opfer darbringen;6;256;153;405,320,439,364;Chassinat/6_256.jpg;90;361;96.44;16.81;10.57;15.04
Dinge umbinden;6;254;153;405,367,439,411;Chassinat/6_254.jpg;90;361;119.01;16.81;10.57;15.04
Libieren;6;253;153;405,414,439,458;Chassinat/6_253.jpg;90;361;141.59;16.81;10.57;15.04
Heb-sed-Fest;6;294;153;442,225,475,292;Chassinat/6_294.jpg;90;361;56.34;49.12;16.09;14.6
fehlt;6;293;153;442,295,475,338;Chassinat/6_293.jpg;90;361;84.19;49.12;10.33;14.6
Sänfte ???;6;292;153;442,341,475,411;Chassinat/6_292.jpg;90;361;112.77;49.12;16.81;14.6
Fleischstücke darreichen;6;327;153;478,225,513,458;Chassinat/6_327.jpg;90;361;96.2;81.86;55.95;15.49
Kein Opfer;6;289;152/153;442,414,475,505;Chassinat/6_289.jpg;90;361;152.87;49.12;21.85;14.6
Ein Fest feiern;6;318;152;478,461,513,689;Chassinat/6_318.jpg;90;361;208.34;81.86;54.75;15.49
Wein darreichen;6;252;152;406,461,440,505;Chassinat/6_252.jpg;90;361;164.16;17.7;10.57;15.04
Myrrhe darbringen;6;251;152;405,508,439,542;Chassinat/6_251.jpg;90;361;184.33;16.81;8.16;15.04
Steuerruder ? ergreifen;6;288;152;442,508,475,542;Chassinat/6_288.jpg;90;361;184.33;49.12;8.16;14.6
Pflanzen darreichen;6;250;152;405,545,439,579;Chassinat/6_250.jpg;90;361;202.1;16.81;8.16;15.04
Kranz der Rechtfertigung umbinden;6;287;152;442,545,475,579;Chassinat/6_287.jpg;90;361;202.1;49.12;8.16;14.6
Meret-Kästen ziehen;6;248;152;405,582,439,616;Chassinat/6_248.jpg;90;361;219.87;16.81;8.16;15.04
Kälber treiben;6;286;152;442,582,475,616;Chassinat/6_286.jpg;90;361;219.87;49.12;8.16;14.6
Lotus darreichen;6;247;152;405,619,439,652;Chassinat/6_247.jpg;90;361;237.4;16.81;7.92;15.04
Die beiden Uräusschlangen darreichen;6;285;152;442,619,475,652;Chassinat/6_285.jpg;90;361;237.4;49.12;7.92;14.6
Stabstrauß opfern;6;246;152;405,655,439,689;Chassinat/6_246.jpg;90;361;254.93;16.81;8.16;15.04
Sistrum spielen;6;283;152;442,655,475,689;Chassinat/6_283.jpg;90;361;254.93;49.12;8.16;14.6
Men-Gefäß opfern;6;282;151;450,692,475,726;Chassinat/6_282.jpg;90;361;272.7;52.65;8.16;11.06
Maat darreichen;6;317;151;478,692,513,726;Chassinat/6_317.jpg;90;361;272.7;81.86;8.16;15.49
Gott schauen;6;245;151;405,729,439,742;Chassinat/6_245.jpg;90;361;285.42;16.81;3.12;15.04
Den König einführen;6;244;151;405,745,439,764;Chassinat/6_244.jpg;90;361;294.55;16.81;4.56;15.04
Sokar erscheinen lassen;6;281;151;442,729,475,764;Chassinat/6_281.jpg;90;361;290.71;49.12;8.4;14.6
Käfergestaltige Flügelsonne darreichen;6;316;151;478,729,513,764;Chassinat/6_316.jpg;90;361;290.71;81.86;8.4;15.49
Krönung;6;244;151;405,767,439,801;Chassinat/6_244.jpg;90;361;308.72;16.81;8.16;15.04
Gerste schneiden;6;280;151;442,767,475,801;Chassinat/6_280.jpg;90;361;308.72;49.12;8.16;14.6
Wein darreichen;6;315;151;478,767,513,801;Chassinat/6_315.jpg;90;361;308.72;81.86;8.16;15.49
Reinigung;6;243;151;405,804,439,838;Chassinat/6_243.jpg;90;361;326.49;16.81;8.16;15.04
Sachmet zufriedenstellen;6;280;151;442,804,475,838;Chassinat/6_280.jpg;90;361;326.49;49.12;8.16;14.6
Kranz opfern;6;315;151;478,804,513,838;Chassinat/6_315.jpg;90;361;326.49;81.86;8.16;15.49
Herauskommen aus dem Palast (Iunmutef weihräuchern);6;241;151;405,841,439,899;Chassinat/6_241.jpg;90;361;350.02;16.81;13.93;15.04
Himmel stützen;6;279;151;442,841,475,875;Chassinat/6_279.jpg;90;361;344.26;49.12;8.16;14.6
Myrrhe darbringen;6;314;151;478,841,513,875;Chassinat/6_314.jpg;90;361;344.26;81.86;8.16;15.49
Menit darreichen;6;278;151;442,878,475,911;Chassinat/6_278.jpg;90;361;361.79;49.12;7.92;14.6
Ball schlagen;6;313;151;478,878,513,911;Chassinat/6_313.jpg;90;361;361.79;81.86;7.92;15.49
;;;;405,902,439,925;#;90;361;370.91;16.81;5.52;15.04
eintreten;6;240;150;405,928,439,967;Chassinat/6_240.jpg;90;361;387.24;16.81;9.37;15.04
begrüßen;6;277;150;442,914,475,948;Chassinat/6_277.jpg;90;361;379.32;49.12;8.16;14.6
Fleischstücke;6;312;150;478,914,513,948;Chassinat/6_312.jpg;90;361;379.32;81.86;8.16;15.49
Heb-sed-Fest;6;277;150;442,951,475,985;Chassinat/6_277.jpg;90;361;397.09;49.12;8.16;14.6
Weihräuchern;6;311;150;478,951,513,985;Chassinat/6_311.jpg;90;361;397.09;81.86;8.16;15.49
Speer darreichen;6;238;150;405,970,439,1007;Chassinat/6_238.jpg;90;361;406.93;16.81;8.88;15.04
Volk einschüchtern;6;235;150;405,1010,439,1060;Chassinat/6_235.jpg;90;361;429.26;16.81;12.01;15.04
Kranz der Rechtfertigung darreichen;6;275;150;442,988,475,1060;Chassinat/6_275.jpg;90;361;423.98;49.12;17.29;14.6
Maat darreichen;6;310;150;478,988,513,1060;Chassinat/6_310.jpg;90;361;423.98;81.86;17.29;15.49
Opfer opfern;6;274;150;442,1063,475,1096;Chassinat/6_274.jpg;90;361;450.63;49.12;7.92;14.6
Weihräuchern und Libieren;6;309;150;478,1063,513,1097;Chassinat/6_309.jpg;90;361;450.88;81.86;8.16;15.49
